player_id,full_name,nhl_player_id,old_team,new_team,move_type,event_date,url_1,url_2,status
250,Curtis Lazar,8477508,Devils,Oilers,,,,,needs_date
254,Jack Roslovic,8478458,Hurricanes,Oilers,,,,,needs_date
260,Connor Murphy,8476473,Blackhawks,Oilers,,,,,needs_date
262,Spencer Stastney,8481056,Predators,Oilers,,,,,needs_date
269,Vinnie Hinostroza,8476994,Wild,Panthers,,,,,needs_date
270,Luke Kunin,8479316,Blue Jackets,Panthers,,,,,needs_date
275,Cole Reinhardt,8481133,Senators,Golden Knights,,,,,needs_date
275,Cole Reinhardt,8481133,Golden Knights,Panthers,,,,,needs_date
279,Cole Schwindt,8481655,Golden Knights,Panthers,,,,,needs_date
288,Donovan Sebrango,8482131,Senators,Panthers,,,,,needs_date
289,Joel Armia,8476469,Canadiens,Kings,,,,,needs_date
293,Mathieu Joseph,8478472,Blues,Kings,,,,,needs_date
298,Scott Laughton,8476872,Maple Leafs,Kings,,,,,needs_date
301,Artemi Panarin,8478550,Rangers,Kings,,,,,needs_date
306,Cody Ceci,8476879,Stars,Kings,,,,,needs_date
309,Brian Dumoulin,8475208,Devils,Kings,,,,,needs_date
312,Nicolas Aube-Kubel,8477979,Rangers,Wild,,,,,needs_date
314,Bobby Brink,8481553,Flyers,Wild,,,,,needs_date
316,Robby Fabbri,8477952,Ducks,Blues,,,,,needs_date
316,Robby Fabbri,8477952,Blues,Wild,,,,,needs_date
318,Nick Foligno,8473422,Blackhawks,Wild,,,,,needs_date
324,Michael McCarron,8477446,Predators,Wild,,,,,needs_date
325,Nico Sturm,8481477,Panthers,Wild,,,,,needs_date
326,Vladimir Tarasenko,8475765,Red Wings,Wild,,,,,needs_date
334,Quinn Hughes,8480800,Canucks,Wild,,,,,needs_date
336,Matt Kiersted,8482641,Panthers,Wild,,,,,needs_date
339,Jeff Petry,8473507,Red Wings,Panthers,,,,,needs_date
339,Jeff Petry,8473507,Panthers,Wild,,,,,needs_date
344,Zachary Bolduc,8482737,Blues,Canadiens,,,,,needs_date
347,Phillip Danault,8476479,Kings,Canadiens,,,,,needs_date
356,Alexandre Texier,8480074,Blues,Canadiens,,,,,needs_date
357,Joe Veleno,8480813,Blackhawks,Canadiens,,,,,needs_date
360,Noah Dobson,8480865,Islanders,Canadiens,,,,,needs_date
371,Erik Haula,8475287,Devils,Predators,,,,,needs_date
372,Tyson Jost,8479370,Hurricanes,Predators,,,,,needs_date
380,Nicolas Hague,8479980,Golden Knights,Predators,,,,,needs_date
382,Nick Perbix,8480246,Lightning,Predators,,,,,needs_date
385,Nick Bjugstad,8475760,Utah Hockey Club,Blues,,,,,needs_date
