player_id,full_name,position,group,line_slot,team_code,nhl_team_code,team_slug,team_city,nhl_player_id,wikipedia_slug,capwages_slug,roster_source,fetch_date
111,William Eklund,L,f1,f1:L,SJ,SJS,san-jose-sharks,San Jose,8482667,William_Eklund,william-eklund,nhl_toi_position,2026-05-28
112,Macklin Celebrini,C,f1,f1:C,SJ,SJS,san-jose-sharks,San Jose,8484801,Macklin_Celebrini,macklin-celebrini,nhl_toi_position,2026-05-28
113,Collin Graf,R,f1,f1:R,SJ,SJS,san-jose-sharks,San Jose,8484911,Collin_Graf,collin-graf,nhl_toi_position,2026-05-28
114,Dmitry Orlov,D,d1,d1:D,SJ,SJS,san-jose-sharks,San Jose,8475200,Dmitry_Orlov,dmitry-orlov,nhl_toi_position,2026-05-28
115,Mario Ferraro,D,d1,d1:D,SJ,SJS,san-jose-sharks,San Jose,8479983,Mario_Ferraro,mario-ferraro,nhl_toi_position,2026-05-28
116,Jared McCann,L,f1,f1:L,SEA,SEA,seattle-kraken,Seattle,8477955,Jared_McCann,jared-mccann,nhl_toi_position,2026-05-28
117,Chandler Stephenson,C,f1,f1:C,SEA,SEA,seattle-kraken,Seattle,8476905,Chandler_Stephenson,chandler-stephenson,nhl_toi_position,2026-05-28
118,Jordan Eberle,R,f1,f1:R,SEA,SEA,seattle-kraken,Seattle,8474586,Jordan_Eberle,jordan-eberle,nhl_toi_position,2026-05-28
119,Brandon Montour,D,d1,d1:D,SEA,SEA,seattle-kraken,Seattle,8477986,Brandon_Montour,brandon-montour,nhl_toi_position,2026-05-28
120,Vince Dunn,D,d1,d1:D,SEA,SEA,seattle-kraken,Seattle,8478407,Vince_Dunn,vince-dunn,nhl_toi_position,2026-05-28
121,Dylan Holloway,L,f1,f1:L,STL,STL,st-louis-blues,St. Louis,8482077,Dylan_Holloway,dylan-holloway,nhl_toi_position,2026-05-28
122,Robert Thomas,C,f1,f1:C,STL,STL,st-louis-blues,St. Louis,8480023,Robert_Thomas,robert-thomas,nhl_toi_position,2026-05-28
123,Jimmy Snuggerud,R,f1,f1:R,STL,STL,st-louis-blues,St. Louis,8483516,Jimmy_Snuggerud,jimmy-snuggerud,nhl_toi_position,2026-05-28
124,Philip Broberg,D,d1,d1:D,STL,STL,st-louis-blues,St. Louis,8481598,Philip_Broberg,philip-broberg,nhl_toi_position,2026-05-28
125,Colton Parayko,D,d1,d1:D,STL,STL,st-louis-blues,St. Louis,8476892,Colton_Parayko,colton-parayko,nhl_toi_position,2026-05-28
126,Brandon Hagel,L,f1,f1:L,TB,TBL,tampa-bay-lightning,Tampa Bay,8479542,Brandon_Hagel,brandon-hagel,nhl_toi_position,2026-05-28
127,Jake Guentzel,C,f1,f1:C,TB,TBL,tampa-bay-lightning,Tampa Bay,8477404,Jake_Guentzel,jake-guentzel,nhl_toi_position,2026-05-28
128,Nikita Kucherov,R,f1,f1:R,TB,TBL,tampa-bay-lightning,Tampa Bay,8476453,Nikita_Kucherov,nikita-kucherov,nhl_toi_position,2026-05-28
129,Darren Raddysh,D,d1,d1:D,TB,TBL,tampa-bay-lightning,Tampa Bay,8478178,Darren_Raddysh,darren-raddysh,nhl_toi_position,2026-05-28
130,J.J. Moser,D,d1,d1:D,TB,TBL,tampa-bay-lightning,Tampa Bay,8482655,J.J._Moser,jj-moser,nhl_toi_position,2026-05-28
131,Matthew Knies,L,f1,f1:L,TOR,TOR,toronto-maple-leafs,Toronto,8482720,Matthew_Knies,matthew-knies,nhl_toi_position,2026-05-28
132,Auston Matthews,C,f1,f1:C,TOR,TOR,toronto-maple-leafs,Toronto,8479318,Auston_Matthews,auston-matthews,nhl_toi_position,2026-05-28
133,William Nylander,R,f1,f1:R,TOR,TOR,toronto-maple-leafs,Toronto,8477939,William_Nylander,william-nylander,nhl_toi_position,2026-05-28
134,Jake McCabe,D,d1,d1:D,TOR,TOR,toronto-maple-leafs,Toronto,8476931,Jake_McCabe,jake-mccabe,nhl_toi_position,2026-05-28
135,Morgan Rielly,D,d1,d1:D,TOR,TOR,toronto-maple-leafs,Toronto,8476853,Morgan_Rielly,morgan-rielly,nhl_toi_position,2026-05-28
136,Lawson Crouse,L,f1,f1:L,UTA,UTA,utah-mammoth,Utah,8478474,Lawson_Crouse,lawson-crouse,nhl_toi_position,2026-05-28
137,Nick Schmaltz,C,f1,f1:C,UTA,UTA,utah-mammoth,Utah,8477951,Nick_Schmaltz,nick-schmaltz,nhl_toi_position,2026-05-28
138,Clayton Keller,R,f1,f1:R,UTA,UTA,utah-mammoth,Utah,8479343,Clayton_Keller,clayton-keller,nhl_toi_position,2026-05-28
139,Mikhail Sergachev,D,d1,d1:D,UTA,UTA,utah-mammoth,Utah,8479410,Mikhail_Sergachev,mikhail-sergachev,nhl_toi_position,2026-05-28
140,MacKenzie Weegar,D,d1,d1:D,UTA,UTA,utah-mammoth,Utah,8477346,MacKenzie_Weegar,mackenzie-weegar,nhl_toi_position,2026-05-28
141,Jake DeBrusk,L,f1,f1:L,VAN,VAN,vancouver-canucks,Vancouver,8478498,Jake_DeBrusk,jake-debrusk,nhl_toi_position,2026-05-28
142,Elias Pettersson,C,f1,f1:C,VAN,VAN,vancouver-canucks,Vancouver,8480012,Elias_Pettersson,elias-pettersson,nhl_toi_position,2026-05-28
143,Brock Boeser,R,f1,f1:R,VAN,VAN,vancouver-canucks,Vancouver,8478444,Brock_Boeser,brock-boeser,nhl_toi_position,2026-05-28
144,Filip Hronek,D,d1,d1:D,VAN,VAN,vancouver-canucks,Vancouver,8479425,Filip_Hronek,filip-hronek,nhl_toi_position,2026-05-28
145,Marcus Pettersson,D,d1,d1:D,VAN,VAN,vancouver-canucks,Vancouver,8477969,Marcus_Pettersson,marcus-pettersson,nhl_toi_position,2026-05-28
146,Ivan Barbashev,L,f1,f1:L,VEG,VGK,vegas-golden-knights,Vegas,8477964,Ivan_Barbashev,ivan-barbashev,nhl_toi_position,2026-05-28
147,Jack Eichel,C,f1,f1:C,VEG,VGK,vegas-golden-knights,Vegas,8478403,Jack_Eichel,jack-eichel,nhl_toi_position,2026-05-28
148,Mitch Marner,R,f1,f1:R,VEG,VGK,vegas-golden-knights,Vegas,8478483,Mitch_Marner,mitch-marner,nhl_toi_position,2026-05-28
149,Rasmus Andersson,D,d1,d1:D,VEG,VGK,vegas-golden-knights,Vegas,8478397,Rasmus_Andersson,rasmus-andersson,nhl_toi_position,2026-05-28
150,Shea Theodore,D,d1,d1:D,VEG,VGK,vegas-golden-knights,Vegas,8477447,Shea_Theodore,shea-theodore,nhl_toi_position,2026-05-28
151,Aliaksei Protas,L,f1,f1:L,WAS,WSH,washington-capitals,Washington,8481656,Aliaksei_Protas,aliaksei-protas,nhl_toi_position,2026-05-28
152,Dylan Strome,C,f1,f1:C,WAS,WSH,washington-capitals,Washington,8478440,Dylan_Strome,dylan-strome,nhl_toi_position,2026-05-28
153,Tom Wilson,R,f1,f1:R,WAS,WSH,washington-capitals,Washington,8476880,Tom_Wilson,tom-wilson,nhl_toi_position,2026-05-28
154,Jakob Chychrun,D,d1,d1:D,WAS,WSH,washington-capitals,Washington,8479345,Jakob_Chychrun,jakob-chychrun,nhl_toi_position,2026-05-28
155,Matt Roy,D,d1,d1:D,WAS,WSH,washington-capitals,Washington,8478911,Matt_Roy,matt-roy,nhl_toi_position,2026-05-28
156,Kyle Connor,L,f1,f1:L,WPG,WPG,winnipeg-jets,Winnipeg,8478398,Kyle_Connor,kyle-connor,nhl_toi_position,2026-05-28
157,Mark Scheifele,C,f1,f1:C,WPG,WPG,winnipeg-jets,Winnipeg,8476460,Mark_Scheifele,mark-scheifele,nhl_toi_position,2026-05-28
158,Nino Niederreiter,R,f1,f1:R,WPG,WPG,winnipeg-jets,Winnipeg,8475799,Nino_Niederreiter,nino-niederreiter,nhl_toi_position,2026-05-28
159,Josh Morrissey,D,d1,d1:D,WPG,WPG,winnipeg-jets,Winnipeg,8477504,Josh_Morrissey,josh-morrissey,nhl_toi_position,2026-05-28
160,Neal Pionk,D,d1,d1:D,WPG,WPG,winnipeg-jets,Winnipeg,8480145,Neal_Pionk,neal-pionk,nhl_toi_position,2026-05-28
