team_code,first_name,last_name,position,wikipedia_slug,wiki_12mo
PIT,Erik,Karlsson,D,Erik_Karlsson,153992
PIT,Kris,Letang,D,Kris_Letang,140324
PIT,Jake,Livanavage,D,Jake_Livanavage,8122
PIT,Ryan,Shea,D,Ryan_Shea,18166
PIT,Ilya,Solovyov,D,Ilya_Solovyov,22805
PIT,Jack,St. Ivany,D,Jack_St._Ivany,9940
PIT,Parker,Wotherspoon,D,Parker_Wotherspoon,26781
PIT,Arturs,Silovs,G,Arturs_Silovs,2780
PIT,Stuart,Skinner,G,Stuart_Skinner,259830
SJS,Macklin,Celebrini,C,Macklin_Celebrini,1266822
SJS,Ty,Dellandrea,C,Ty_Dellandrea,22543
SJS,William,Eklund,L,William_Eklund,83579
SJS,Adam,Gaudette,R,Adam_Gaudette,37374
SJS,Barclay,Goodrow,C,Barclay_Goodrow,27670
SJS,Collin,Graf,R,Collin_Graf,39063
SJS,Philipp,Kurashev,C,Philipp_Kurashev,32145
SJS,Michael,Misa,C,Michael_Misa,184784
SJS,Zack,Ostapchuk,C,Zack_Ostapchuk,21337
SJS,Ryan,Reaves,R,Ryan_Reaves,160244
SJS,Pavol,Regenda,L,Pavol_Regenda,34442
SJS,Kiefer,Sherwood,L,Kiefer_Sherwood,118696
SJS,Will,Smith,C,Will_Smith,3292727
SJS,Tyler,Toffoli,C,Tyler_Toffoli,87519
SJS,Alexander,Wennberg,C,Alexander_Wennberg,59463
SJS,Vincent,Desharnais,D,Vincent_Desharnais,34673
SJS,Sam,Dickinson,D,Sam_Dickinson,2439
SJS,Mario,Ferraro,D,Mario_Ferraro,35134
SJS,John,Klingberg,D,John_Klingberg,50269
SJS,Nick,Leddy,D,Nick_Leddy,38363
SJS,Shakir,Mukhamadullin,D,Shakir_Mukhamadullin,49987
SJS,Dmitry,Orlov,D,Dmitry_Orlov,2102
SJS,Yaroslav,Askarov,G,Yaroslav_Askarov,56005
SJS,Alex,Nedeljkovic,G,Alex_Nedeljkovic,81250
TBL,Oliver,Bjorkstrand,R,Oliver_Bjorkstrand,34082
TBL,Anthony,Cirelli,C,Anthony_Cirelli,45059
TBL,Conor,Geekie,C,Conor_Geekie,60469
TBL,Zemgus,Girgensons,C,Zemgus_Girgensons,36103
TBL,Gage,Goncalves,C,Gage_Goncalves,38497
TBL,Yanni,Gourde,C,Yanni_Gourde,49817
TBL,Jake,Guentzel,C,Jake_Guentzel,188481
TBL,Brandon,Hagel,L,Brandon_Hagel,157426
TBL,Pontus,Holmberg,R,Pontus_Holmberg,21318
TBL,Dominic,James,C,Dominic_James,6527
TBL,Nikita,Kucherov,R,Nikita_Kucherov,201666
TBL,Nick,Paul,L,Nick_Paul,23634
TBL,Corey,Perry,R,Corey_Perry,579536
TBL,Brayden,Point,C,Brayden_Point,57676
TBL,Scott,Sabourin,R,Scott_Sabourin,45307
TBL,Declan,Carlile,D,Declan_Carlile,9250
TBL,Erik,Cernak,D,Erik_Cernak,388
TBL,Max,Crozier,D,Max_Crozier,12510
TBL,Charle-Edouard,D'Astous,D,Charle-Edouard_D'Astous,22074
TBL,Victor,Hedman,D,Victor_Hedman,86787
TBL,Emil,Lilleberg,D,Emil_Lilleberg,15417
