player_id,full_name,nhl_player_id,team_code,season,position,age,ppg,toi_per_game,games_played,fetch_date
79,Blake Coleman,8476399,CGY,20232024,L,32,0.6923,17.133,78,2026-08-07
79,Blake Coleman,8476399,CGY,20242025,L,33,0.4756,17.683,82,2026-08-07
79,Blake Coleman,8476399,CGY,20252026,L,34,0.5072,17.333,69,2026-08-07
80,Matt Coronato,8482679,CGY,20232024,R,21,0.2647,12.617,34,2026-08-07
80,Matt Coronato,8482679,CGY,20242025,R,22,0.6104,17.583,77,2026-08-07
80,Matt Coronato,8482679,CGY,20252026,R,23,0.5625,16.65,80,2026-08-07
81,Joel Farabee,8480797,CGY,20232024,L,23,0.6098,16.183,82,2026-08-07
81,Joel Farabee,8480797,CGY,20242025,L,24,0.3086,14.907,81,2026-08-07
81,Joel Farabee,8480797,CGY,20252026,L,25,0.4634,16.917,82,2026-08-07
82,Morgan Frost,8480028,CGY,20232024,C,24,0.5775,15.833,71,2026-08-07
82,Morgan Frost,8480028,CGY,20242025,C,25,0.4568,15.75,81,2026-08-07
82,Morgan Frost,8480028,CGY,20252026,C,26,0.5244,15.5,82,2026-08-07
83,Matvei Gridin,8484860,CGY,20232024,R,17,,,,2026-08-07
83,Matvei Gridin,8484860,CGY,20242025,R,18,,,,2026-08-07
83,Matvei Gridin,8484860,CGY,20252026,R,19,0.5405,15.167,37,2026-08-07
84,Tyson Gross,8486056,CGY,20232024,C,21,,,,2026-08-07
84,Tyson Gross,8486056,CGY,20242025,C,22,,,,2026-08-07
84,Tyson Gross,8486056,CGY,20252026,C,23,0.1667,11.033,6,2026-08-07
85,Samuel Honzek,8484180,CGY,20232024,L,19,,,,2026-08-07
85,Samuel Honzek,8484180,CGY,20242025,L,20,0.0,12.4,5,2026-08-07
85,Samuel Honzek,8484180,CGY,20252026,L,21,0.2222,12.35,18,2026-08-07
86,Jonathan Huberdeau,8476456,CGY,20232024,L,30,0.642,17.417,81,2026-08-07
86,Jonathan Huberdeau,8476456,CGY,20242025,L,31,0.7654,19.55,81,2026-08-07
86,Jonathan Huberdeau,8476456,CGY,20252026,L,32,0.5,18.133,50,2026-08-07
87,Rory Kerins,8482209,CGY,20232024,C,21,,,,2026-08-07
87,Rory Kerins,8482209,CGY,20242025,C,22,0.8,12.233,5,2026-08-07
87,Rory Kerins,8482209,CGY,20252026,C,23,0.0,15.0,4,2026-08-07
88,Adam Klapka,8483609,CGY,20232024,R,23,0.1667,6.767,6,2026-08-07
88,Adam Klapka,8483609,CGY,20242025,R,24,0.3226,9.65,31,2026-08-07
88,Adam Klapka,8483609,CGY,20252026,R,25,0.2278,10.633,79,2026-08-07
89,Ryan Lomberg,8479066,CGY,20232024,L,29,0.0933,9.533,75,2026-08-07
89,Ryan Lomberg,8479066,CGY,20242025,L,30,0.1625,8.65,80,2026-08-07
89,Ryan Lomberg,8479066,CGY,20252026,L,31,0.1579,9.05,57,2026-08-07
90,Victor Olofsson,8478109,CGY,20232024,R,28,0.2941,11.567,51,2026-08-07
90,Victor Olofsson,8478109,CGY,20242025,R,29,0.5179,14.5,56,2026-08-07
90,Victor Olofsson,8478109,CGY,20252026,R,30,0.3974,13.556,78,2026-08-07
91,Martin Pospisil,8481028,CGY,20232024,C,24,0.381,12.717,63,2026-08-07
91,Martin Pospisil,8481028,CGY,20242025,C,25,0.3086,13.8,81,2026-08-07
91,Martin Pospisil,8481028,CGY,20252026,C,26,0.1364,10.15,22,2026-08-07
92,Yegor Sharangovich,8481068,CGY,20232024,C,25,0.7195,17.317,82,2026-08-07
92,Yegor Sharangovich,8481068,CGY,20242025,C,26,0.4384,16.65,73,2026-08-07
92,Yegor Sharangovich,8481068,CGY,20252026,C,27,0.3718,16.05,78,2026-08-07
93,Ryan Strome,8476458,CGY,20232024,C,30,0.519,15.8,79,2026-08-07
93,Ryan Strome,8476458,CGY,20242025,C,31,0.5,16.683,82,2026-08-07
93,Ryan Strome,8476458,CGY,20252026,C,32,0.4038,13.293,52,2026-08-07
94,Aydar Suniev,8484234,CGY,20232024,L,19,,,,2026-08-07
94,Aydar Suniev,8484234,CGY,20242025,L,20,0.0,14.8,1,2026-08-07
94,Aydar Suniev,8484234,CGY,20252026,L,21,0.1667,11.617,6,2026-08-07
95,Connor Zary,8482074,CGY,20232024,C,22,0.5397,15.267,63,2026-08-07
95,Connor Zary,8482074,CGY,20242025,C,23,0.5,16.067,54,2026-08-07
