player_id,full_name,nhl_player_id,capwages_nhlid,cap_hit_M,season,cap_quality,cap_note,source_url,fetched_at
105,Rasmus Ristolainen,8477499,8477499,5.1000,2025-26,ok,,https://capwages.com/players/rasmus-ristolainen,2026-05-27T16:15:20.795074+00:00
106,Sidney Crosby,8471675,8471675,8.7000,2025-26,ok,,https://capwages.com/players/sidney-crosby,2026-05-27T16:15:20.795074+00:00
107,Bryan Rust,8475810,8475810,5.1250,2025-26,ok,,https://capwages.com/players/bryan-rust,2026-05-27T16:15:20.795074+00:00
108,Rickard Rakell,8476483,8476483,5.0000,2025-26,ok,,https://capwages.com/players/rickard-rakell,2026-05-27T16:15:20.795074+00:00
109,Erik Karlsson,8474578,8474578,11.5000,2025-26,ok,,https://capwages.com/players/erik-karlsson,2026-05-27T16:15:20.795074+00:00
110,Parker Wotherspoon,8478450,8478450,1.0000,2025-26,ok,,https://capwages.com/players/parker-wotherspoon,2026-05-27T16:15:20.795074+00:00
111,Igor Chernyshov,8484994,8484994,0.9342,2025-26,ok,,https://capwages.com/players/igor-chernyshov,2026-05-27T16:15:20.795074+00:00
112,Macklin Celebrini,8484801,8484801,0.9750,2025-26,ok,,https://capwages.com/players/macklin-celebrini,2026-05-27T16:15:20.795074+00:00
113,Will Smith,8484227,8484227,0.9500,2025-26,ok,,https://capwages.com/players/will-smith,2026-05-27T16:15:20.795074+00:00
114,Dmitry Orlov,8475200,8475200,6.5000,2025-26,ok,,https://capwages.com/players/dmitry-orlov,2026-05-27T16:15:20.795074+00:00
115,Shakir Mukhamadullin,8482166,8482166,1.0000,2025-26,ok,,https://capwages.com/players/shakir-mukhamadullin,2026-05-27T16:15:20.795074+00:00
116,Jordan Eberle,8474586,8474586,4.7500,2025-26,ok,,https://capwages.com/players/jordan-eberle,2026-05-27T16:15:20.795074+00:00
117,Bobby McMann,8482259,8482259,1.3500,2025-26,ok,,https://capwages.com/players/bobby-mcmann,2026-05-27T16:15:20.795074+00:00
118,Matty Beniers,8482665,8482665,7.1429,2025-26,ok,,https://capwages.com/players/matty-beniers,2026-05-27T16:15:20.795074+00:00
119,Vince Dunn,8478407,8478407,7.3500,2025-26,ok,,https://capwages.com/players/vince-dunn,2026-05-27T16:15:20.795074+00:00
120,Adam Larsson,8476457,8476457,5.2500,2025-26,ok,,https://capwages.com/players/adam-larsson,2026-05-27T16:15:20.795074+00:00
121,Robert Thomas,8480023,8480023,8.1250,2025-26,ok,,https://capwages.com/players/robert-thomas,2026-05-27T16:15:20.795074+00:00
122,Dylan Holloway,8482077,8482077,2.2905,2025-26,ok,,https://capwages.com/players/dylan-holloway,2026-05-27T16:15:20.795074+00:00
123,Jimmy Snuggerud,8483516,8483516,0.9500,2025-26,ok,,https://capwages.com/players/jimmy-snuggerud,2026-05-27T16:15:20.795074+00:00
124,Philip Broberg,8481598,8481598,4.5809,2025-26,ok,,https://capwages.com/players/philip-broberg,2026-05-27T16:15:20.795074+00:00
125,Logan Mailloux,8482733,8482733,0.8750,2025-26,ok,,https://capwages.com/players/logan-mailloux,2026-05-27T16:15:20.795074+00:00
126,Nikita Kucherov,8476453,8476453,9.5000,2025-26,ok,,https://capwages.com/players/nikita-kucherov,2026-05-27T16:15:20.795074+00:00
127,Anthony Cirelli,8478519,8478519,6.2500,2025-26,ok,,https://capwages.com/players/anthony-cirelli,2026-05-27T16:15:20.795074+00:00
128,Brandon Hagel,8479542,8479542,6.5000,2025-26,ok,,https://capwages.com/players/brandon-hagel,2026-05-27T16:15:20.795074+00:00
129,J.J. Moser,8482655,8482655,3.3750,2025-26,ok,,https://capwages.com/players/j-j-moser,2026-05-27T16:15:20.795074+00:00
