player_id,full_name,wikipedia_slug_tried,wikipedia_slug_chosen,wikidata_qid,wiki_match,wiki_12mo,fetch_date,window_start,window_end
141,Drew O'Connor,Drew_O'Connor,Drew_O'Connor,Q105083026,occupation,26308,2026-05-27,20250526,20260526
142,Marco Rossi,Marco_Rossi,Marco_Rossi_(ice_hockey),Q44086008,occupation,82924,2026-05-27,20250526,20260526
143,Linus Karlsson,Linus_Karlsson,Linus_Karlsson_(ice_hockey),Q55364020,occupation,19158,2026-05-27,20250526,20260526
144,Filip Hronek,Filip_Hronek,Filip_Hronek,Q20057354,occupation,28909,2026-05-27,20250526,20260526
145,Zeev Buium,Zeev_Buium,Zeev_Buium,Q124098765,occupation,181039,2026-05-27,20250526,20260526
146,Jack Eichel,Jack_Eichel,Jack_Eichel,Q17285387,occupation,293767,2026-05-27,20250526,20260526
147,Ivan Barbashev,Ivan_Barbashev,Ivan_Barbashev,Q16147074,occupation,30005,2026-05-27,20250526,20260526
148,Pavel Dorofeyev,Pavel_Dorofeyev,Pavel_Dorofeyev,Q60677539,occupation,48704,2026-05-27,20250526,20260526
149,Shea Theodore,Shea_Theodore,Shea_Theodore,Q13581460,occupation,71805,2026-05-27,20250526,20260526
150,Brayden McNabb,Brayden_McNabb,Brayden_McNabb,Q944469,occupation,29587,2026-05-27,20250526,20260526
151,Alex Ovechkin,Alex_Ovechkin,Alexander_Ovechkin,Q311374,occupation,1081093,2026-05-27,20250526,20260526
152,Dylan Strome,Dylan_Strome,Dylan_Strome,Q17388804,occupation,93946,2026-05-27,20250526,20260526
153,Anthony Beauvillier,Anthony_Beauvillier,Anthony_Beauvillier,Q20065960,occupation,37807,2026-05-27,20250526,20260526
154,Martin Fehervary,Martin_Fehervary,Martin_Fehérváry,Q22116861,occupation,26536,2026-05-27,20250526,20260526
155,Dylan McIlrath,Dylan_McIlrath,Dylan_McIlrath,Q980125,occupation,13815,2026-05-27,20250526,20260526
156,Kyle Connor,Kyle_Connor,Kyle_Connor,Q20067704,occupation,108091,2026-05-27,20250526,20260526
157,Mark Scheifele,Mark_Scheifele,Mark_Scheifele,Q982252,occupation,94106,2026-05-27,20250526,20260526
158,Gabriel Vilardi,Gabriel_Vilardi,Gabriel_Vilardi,Q26251709,occupation,27404,2026-05-27,20250526,20260526
159,Josh Morrissey,Josh_Morrissey,Josh_Morrissey,Q13581454,occupation,42352,2026-05-27,20250526,20260526
160,Dylan DeMelo,Dylan_DeMelo,Dylan_DeMelo,Q15727578,occupation,15068,2026-05-27,20250526,20260526
